Mnemonic	Addressing mode	Form	Opcode	Size	Timing
ADC	Immediate	ADC #Oper	69	2	2
ADC	Zero Page	ADC Zpg	65	2	3
ADC	Zero Page,X	ADC Zpg,X	75	2	4
ADC	Absolute	ADC Abs	6D	3	4
ADC	Absolute,X	ADC Abs,X	7D	3	4
ADC	Absolute,Y	ADC Abs,Y	79	3	4
ADC	(Zero Page,X)	ADC (Zpg,X)	61	2	6
ADC	(Zero Page),Y	ADC (Zpg),Y	71	2	5
ADC	(Zero Page)	ADC (Zpg)	72	2	5
AND	Immediate	AND #Oper	29	2	2
AND	Zero Page	AND Zpg	25	2	3
AND	Zero Page,X	AND Zpg,X	35	2	4
AND	Absolute	AND Abs	2D	3	4
AND	Absolute,X	AND Abs,X	3D	3	4
AND	Absolute,Y	AND Abs,Y	39	3	4
AND	(Zero Page,X)	AND (Zpg,X)	21	2	6
AND	(Zero Page),Y	AND (Zpg),Y	31	2	5
AND	(Zero Page)	AND (Zpg)	32	2	5
ASL	Accumulator	ASL A	0A	1	2
ASL	Zero Page	ASL Zpg	06	2	5
ASL	Zero Page,X	ASL Zpg,X	16	2	6
ASL	Absolute	ASL Abs	0E	3	6
ASL	Absolute,X	ASL Abs,X	1E	3	7
BBR0	Relative	BBR0 Oper	0F	2	2
BBR1	Relative	BBR1 Oper	1F	2	2
BBR2	Relative	BBR2 Oper	2F	2	2
BBR3	Relative	BBR3 Oper	3F	2	2
BBR4	Relative	BBR4 Oper	4F	2	2
BBR5	Relative	BBR5 Oper	5F	2	2
BBR6	Relative	BBR6 Oper	6F	2	2
BBR7	Relative	BBR7 Oper	7F	2	2
BBS0	Relative	BBS0 Oper	8F	2	2
BBS1	Relative	BBS1 Oper	9F	2	2
BBS2	Relative	BBS2 Oper	AF	2	2
BBS3	Relative	BBS3 Oper	BF	2	2
BBS4	Relative	BBS4 Oper	CF	2	2
BBS5	Relative	BBS5 Oper	DF	2	2
BBS6	Relative	BBS6 Oper	EF	2	2
BBS7	Relative	BBS7 Oper	FF	2	2
BCC	Relative	BCC Oper	90	2	2
BCS	Relative	BCS Oper	B0	2	2
BEQ	Relative	BEQ Oper	F0	2	2
BIT	Immediate	BIT #Oper	89	2	2
BIT	Zero Page	BIT Zpg	24	2	3
BIT	Zero Page,X	BIT Zpg,X	34	2	4
BIT	Absolute	BIT Abs	2C	3	4
BIT	Absolute,X	BIT Abs,X	3C	3	4
BMI	Relative	BMI Oper	30	2	2
BNE	Relative	BNE Oper	D0	2	2
BPL	Relative	BPL Oper	10	2	2
BRA	Relative	BRA Oper	80	2	3
BRK	Implied	BRK	00	1	7
BVC	Relative	BVC Oper	50	2	2
BVS	Relative	BVS Oper	70	2	2
CLC	Implied	CLC	18	1	2
CLD	Implied	CLD	D8	1	2
CLI	Implied	CLI	58	1	2
CLV	Implied	CLV	B8	1	2
CMP	Immediate	CMP #Oper	C9	2	2
CMP	Zero Page	CMP Zpg	C5	2	3
CMP	Zero Page,X	CMP Zpg	D5	2	4
CMP	Absolute	CMP Abs	CD	3	4
CMP	Absolute,X	CMP Abs,X	DD	3	4
CMP	Absolute,Y	CMP Abs,Y	D9	3	4
CMP	(Zero Page,X)	CMP (Zpg,X)	C1	2	6
CMP	(Zero Page),Y	CMP (Zpg),Y	D1	2	5
CMP	(Zero Page)	CMP (Zpg)	D2	2	5
CPX	Immediate	CPX #Oper	E0	2	2
CPX	Zero Page	CPX Zpg	E4	2	3
CPX	Absolute	CPX Abs	EC	3	4
CPY	Immediate	CPY #Oper	C0	2	2
CPY	Zero Page	CPY Zpg	C4	2	3
